type,day,tree,measurement,probe,comment
normal,2021-06-29,BK04,M03,a04_z,"dva peaky vedle sebe druhý je vyšší"
normal,2021-06-29,BK04,M04,a04_z,"dva peaky vedle sebe druhý je vyšší"
normal,2023-07-17,BK04,M04,a04_z,"dva peaky vedle sebe druhý je vyšší"
normal,2023-07-17,BK09,M03,a04_z,"dva peaky vedle sebe druhý je vyšší"
noc,2023-07-17,BK10,M02,blueMaj,"komplikovné vypuštění, vylepšeno samostatným nastavením času vypuštění"
noc,2023-07-17,BK10,M02,yellowMaj,"komplikovné vypuštění, vylepšeno samostatným nastavením času vypuštění"
normal,2023-07-17,BK11,M02,a04_z,"dva peaky vedle sebe druhý je vyšší"
normal,2023-07-17,BK11,M04,a04_z,"dva peaky vedle sebe druhý je vyšší"
normal,2023-07-17,BK12,M04,a04_z,"dva peaky vedle sebe druhý je vyšší"
normal,2021-03-22,BK13,M02,a01_z,"peak se základní frekvencí je malý"
normal,2021-03-22,BK13,M03,a01_z,"peak se základní frekvencí je malý"
normal,2021-03-22,BK13,M04,a01_z,"peak se základní frekvencí je malý"
normal,2021-06-29,BK13,M03,a04_z,"peak se základní frekvencí je malý"
normal,2024-04-10,BK13,M02,a04_z,"peak se základní frekvencí je malý"
normal,2024-04-10,BK13,M03,a04_z,"peak se základní frekvencí je malý"
normal,2024-04-10,BK13,M04,a04_z,"peak se základní frekvencí je malý"
normal,2021-06-29,BK21,M03,a01_z,"peak se základní frekvencí je malý"
normal,2022-04-05,BK10,M04,a04_z,"zdvojený peak, ten se základní frekvencí je menší"
normal,2024-09-02,BK07,M03,a04_z,"zdvojený peak, ten se základní frekvencí je menší"
normal,2023-07-17,BK09,M02,a04_z,"průběh na inclino atd vypadá divně, ale akcelerometry by možná šly. Počkejme na optiku, ať se vidí, co to bylo za měření."