measurement_type,day,tree,measurement,probe,values
normal, 2021-06-29, BK07, M01, a02_z, "[0.42, 74.82, 281.78, 283.73]"
normal, 2021-06-29, BK07, M01, a02_y, "[0.42, 74.82, 281.78, 283.73]"
normal, 2021-06-29, BK07, M01, a01, "[0.42, 74.82, 281.78, 283.73]"
normal, 2021-06-29, BK07, M01, a03, "[0.42, 74.82, 281.78, 283.73]"
normal, 2022-08-16, BK07, M01, a03, "[280.33, 282.17, 284.17, 1.57, 3.98, 6.76, 93.47, 99.32, 101.96, 105.06, 146.98, 193.40, 198.72, 235.55, 237.47, 240.51, 280.33, 282.17, 284.17, 317.03]"
normal, 2022-08-16, BK07, M01, a01, "[280.33, 282.17, 284.17, 1.57, 3.98, 6.76, 93.47, 99.32, 101.96, 105.06, 146.98, 193.40, 198.72, 235.55, 237.47, 240.51, 280.33, 282.17, 284.17, 317.03]"
normal, 2022-08-16, BK07, M01, a02_x, "[280.33, 282.17, 284.17, 1.57, 3.98, 6.76, 93.47, 99.32, 101.96, 105.06, 146.98, 193.40, 198.72, 235.55, 237.47, 240.51, 280.33, 282.17, 284.17, 317.03]"
den, 2021-08-03, BK01, M02, a01_x, "[0.88, 3.49]"
den, 2021-08-03, BK01, M02, a01_y, "[0.88, 3.49]"
den, 2021-08-03, BK01, M02, a01_z, "[0.88, 3.49]"
den, 2021-08-03, BK01, M02, a02_x, "[0.8, 3.41]"
den, 2021-08-03, BK01, M02, a02_y, "[0.88, 3.49]"
den, 2021-08-03, BK01, M02, a02_z, "[0.88, 3.49]"
den, 2021-08-03, BK01, M02, a03_x, "[0.87, 3.49]"
den, 2021-08-03, BK01, M02, a03_y, "[0.88, 3.49]"
den, 2021-08-03, BK01, M02, a03_z, "[0.87, 3.49]"
den, 2021-08-03, BK01, M02, a04_x, "[0.8, 3.41]"
den, 2021-08-03, BK01, M02, a04_y, "[0.8, 3.41]"
den, 2021-08-03, BK01, M02, a04_z, "[0.8, 3.41]"
den, 2021-08-03, BK01, M03, a01_x, "[4.22, 6.71]"
den, 2021-08-03, BK01, M03, a01_y, "[4.22, 6.71]"
den, 2021-08-03, BK01, M03, a01_z, "[4.22, 6.71]"
den, 2021-08-03, BK01, M03, a02_x, "[4.23, 6.72]"
den, 2021-08-03, BK01, M03, a02_y, "[4.22, 6.71]"
den, 2021-08-03, BK01, M03, a02_z, "[4.23, 6.71]"
den, 2021-08-03, BK01, M03, a03_x, "[4.22, 6.71]"
den, 2021-08-03, BK01, M03, a03_y, "[4.22, 6.71]"
den, 2021-08-03, BK01, M03, a03_z, "[4.22, 6.71]"
den, 2021-08-03, BK01, M04, a01_x, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a01_y, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a01_z, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a02_x, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a02_y, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a02_z, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a03_x, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a03_y, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a03_z, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a04_x, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a04_y, "[1.68, 4.84]"
den, 2021-08-03, BK01, M04, a04_z, "[1.68, 4.84]"