type,date,tree,probe,scale_factor
afterro,2023-07-17,BK01,Inclino(80),-1
afterro,2023-07-17,BK08,Inclino(80),-1
afterro,2023-07-17,BK08,Inclino(81),-1
afterro,2023-07-17,BK09,Inclino(80),-1
afterro,2023-07-17,BK11,Inclino(81),-1
afterro,2023-07-17,BK12,Inclino(81),-1
afterro,2023-07-17,BK21,Inclino(80),-1
afterro2,2024-09-02,BK04,Inclino(80),-1
afterro2,2024-09-02,BK08,Inclino(80),-1
afterro2,2024-09-02,BK08,Inclino(81),-1
afterro2,2024-09-02,BK11,Inclino(81),-1
afterro2,2024-09-02,BK12,Inclino(80),-1
afterro2,2024-09-02,BK21,Inclino(80),-1
afterro2,2024-09-02,BK24,Inclino(80),-1
den,2021-08-03,BK01,Inclino(80),-1
den,2021-08-03,BK07,Inclino(80),-1
den,2021-08-03,BK07,Inclino(81),-1
den,2021-08-03,BK08,Inclino(80),-1
den,2021-08-03,BK08,Inclino(81),-1
den,2021-08-03,BK09,Inclino(80),-1
den,2021-08-03,BK10,Inclino(81),-1
den,2021-08-03,BK11,Inclino(81),-1
den,2022-08-16,BK01,Inclino(80),-1
den,2022-08-16,BK07,Inclino(80),-1
den,2022-08-16,BK08,Inclino(80),-1
den,2022-08-16,BK08,Inclino(81),-1
den,2022-08-16,BK09,Inclino(80),-1
den,2022-08-16,BK10,Inclino(81),-1
den,2022-08-16,BK11,Inclino(81),-1
mraz,2024-01-16,BK01,Inclino(80),-1
mraz,2024-01-16,BK07,Inclino(81),-1
mraz,2024-01-16,BK08,Inclino(80),-1
mraz,2024-01-16,BK08,Inclino(81),-1
mraz,2024-01-16,BK09,Inclino(80),-1
mraz,2024-01-16,BK10,Inclino(81),-1
mraz,2024-01-16,BK11,Inclino(81),-1
noc,2021-08-03,BK07,Inclino(80),-1
noc,2021-08-03,BK07,Inclino(81),-1
noc,2021-08-03,BK08,Inclino(80),-1
noc,2021-08-03,BK08,Inclino(81),-1
noc,2021-08-03,BK09,Inclino(80),-1
noc,2021-08-03,BK10,Inclino(81),-1
noc,2021-08-03,BK11,Inclino(81),-1
noc,2022-08-16,BK01,Inclino(80),-1
noc,2022-08-16,BK07,Inclino(80),-1
noc,2022-08-16,BK08,Inclino(80),-1
noc,2022-08-16,BK08,Inclino(81),-1
noc,2022-08-16,BK09,Inclino(80),-1
noc,2022-08-16,BK10,Inclino(81),-1
noc,2022-08-16,BK11,Inclino(81),-1
noc,2023-07-17,BK07,Inclino(80),-1
noc,2023-07-17,BK08,Inclino(80),-1
noc,2023-07-17,BK10,Inclino(81),-1
normal,2021-03-22,BK01,Inclino(80),-1
normal,2021-03-22,BK01,Inclino(81),-1
normal,2021-03-22,BK04,Inclino(80),-1
normal,2021-03-22,BK04,Inclino(81),-1
normal,2021-03-22,BK07,Inclino(80),-1
normal,2021-03-22,BK07,Inclino(81),-1
normal,2021-03-22,BK08,Inclino(80),-1
normal,2021-03-22,BK24,Inclino(80),-1
normal,2021-03-22,JD18,Inclino(80),-1
normal,2021-03-22,JD18,Inclino(81),-1
normal,2021-06-29,BK01,Inclino(81),-1
normal,2021-06-29,BK04,Inclino(80),-1
normal,2021-06-29,BK04,Inclino(81),-1
normal,2021-06-29,BK07,Inclino(80),-1
normal,2021-06-29,BK07,Inclino(81),-1
normal,2021-06-29,BK08,Inclino(80),-1
normal,2021-06-29,BK08,Inclino(81),-1
normal,2021-06-29,BK09,Inclino(80),-1
normal,2021-06-29,BK10,Inclino(81),-1
normal,2021-06-29,BK11,Inclino(81),-1
normal,2021-06-29,BK12,Inclino(81),-1
normal,2021-06-29,BK13,Inclino(80),-1
normal,2021-06-29,BK16,Inclino(80),-1
normal,2021-06-29,BK21,Inclino(80),-1
normal,2021-06-29,BK24,Inclino(80),-1
normal,2021-06-29,JD18,Inclino(81),-1
normal,2022-04-05,BK01,Inclino(80),-1
normal,2022-04-05,BK04,Inclino(80),-1
normal,2022-04-05,BK07,Inclino(81),-1
normal,2022-04-05,BK08,Inclino(80),-1
normal,2022-04-05,BK08,Inclino(81),-1
normal,2022-04-05,BK09,Inclino(80),-1
normal,2022-04-05,BK10,Inclino(81),-1
normal,2022-04-05,BK11,Inclino(81),-1
normal,2022-04-05,BK12,Inclino(81),-1
normal,2022-04-05,BK13,Inclino(80),-1
normal,2022-04-05,BK14,Inclino(81),-1
normal,2022-04-05,BK16,Inclino(81),-1
normal,2022-04-05,BK21,Inclino(80),-1
normal,2022-04-05,BK24,Inclino(80),-1
normal,2022-04-05,JD18,Inclino(80),-1
normal,2022-04-05,JD18,Inclino(81),-1
normal,2022-08-16,BK01,Inclino(80),-1
normal,2022-08-16,BK04,Inclino(80),-1
normal,2022-08-16,BK07,Inclino(80),-1
normal,2022-08-16,BK07,Inclino(81),-1
normal,2022-08-16,BK08,Inclino(80),-1
normal,2022-08-16,BK08,Inclino(81),-1
normal,2022-08-16,BK09,Inclino(80),-1
normal,2022-08-16,BK10,Inclino(81),-1
normal,2022-08-16,BK11,Inclino(81),-1
normal,2022-08-16,BK12,Inclino(81),-1
normal,2022-08-16,BK13,Inclino(80),-1
normal,2022-08-16,BK16,Inclino(81),-1
normal,2022-08-16,BK21,Inclino(80),-1
normal,2022-08-16,BK24,Inclino(80),-1
normal,2022-08-16,JD18,Inclino(81),-1
normal,2023-07-17,BK01,Inclino(80),-1
normal,2023-07-17,BK04,Inclino(80),-1
normal,2023-07-17,BK07,Inclino(81),-1
normal,2023-07-17,BK08,Inclino(80),-1
normal,2023-07-17,BK08,Inclino(81),-1
normal,2023-07-17,BK09,Inclino(80),-1
normal,2023-07-17,BK10,Inclino(81),-1
normal,2023-07-17,BK11,Inclino(80),-1
normal,2023-07-17,BK11,Inclino(81),-1
normal,2023-07-17,BK12,Inclino(81),-1
normal,2023-07-17,BK13,Inclino(80),-1
normal,2023-07-17,BK16,Inclino(81),-1
normal,2023-07-17,BK21,Inclino(81),-1
normal,2023-07-17,BK24,Inclino(80),-1
normal,2023-07-17,JD18,Inclino(81),-1
normal,2024-04-10,BK01,Inclino(80),-1
normal,2024-04-10,BK04,Inclino(80),-1
normal,2024-04-10,BK07,Inclino(81),-1
normal,2024-04-10,BK08,Inclino(80),-1
normal,2024-04-10,BK08,Inclino(81),-1
normal,2024-04-10,BK09,Inclino(80),-1
normal,2024-04-10,BK10,Inclino(81),-1
normal,2024-04-10,BK11,Inclino(81),-1
normal,2024-04-10,BK12,Inclino(80),-1
normal,2024-04-10,BK13,Inclino(80),-1
normal,2024-04-10,BK16,Inclino(81),-1
normal,2024-04-10,BK21,Inclino(80),-1
normal,2024-04-10,BK24,Inclino(80),-1
normal,2024-04-10,JD18,Inclino(80),-1
normal,2024-09-02,BK01,Inclino(80),-1
normal,2024-09-02,BK07,Inclino(81),-1
normal,2024-09-02,BK08,Inclino(80),-1
normal,2024-09-02,BK08,Inclino(81),-1
normal,2024-09-02,BK09,Inclino(80),-1
normal,2024-09-02,BK10,Inclino(81),-1
normal,2024-09-02,BK12,Inclino(80),-1
normal,2024-09-02,BK12,Inclino(81),-1
normal,2024-09-02,BK21,Inclino(80),-1
normal,2024-09-02,BK24,Inclino(80),-1
normal,2024-09-02,JD18,Inclino(80),-1
normal,2024-09-02,JD18,Inclino(81),-1
mokro,2024-09-02,BK07,Inclino(80),-1
mokro,2024-09-02,BK07,Inclino(81),-1
mokro,2024-09-02,BK08,Inclino(80),-1
mokro,2024-09-02,BK08,Inclino(81),-1
mokro,2024-09-02,BK09,Inclino(80),-1
mokro,2024-09-02,BK09,Inclino(81),-1
mokro,2024-09-02,BK10,Inclino(80),-1
mokro,2024-09-02,BK10,Inclino(81),-1
mokro,2024-09-02,BK11,Inclino(80),-1
mokro,2024-09-02,BK11,Inclino(81),-1
